severity,mapping_status,kb_document_id,maintenance_pack,hot_fix_release_label,about_window_file,bug_patch_number,product,category,description,source_html,evidence_attachment_count,placeholder_attachment_count,evidence_attachment_paths,placeholder_attachment_paths,mapping_warnings,kb_extraction_warnings
LOW,KB_DECLARED_NO_PFD,KB881136,MP 1,"April 18, 2026",CCS_26.4_MP1.3.3_PFDs_Portfolio.pdf,39100333,Oracle Utilities Service and Measurement Data Foundation,For SGG specific Functionality,On Demand Scalar Read is trying to create IMD even for external measuring components (No PFD),kbs/raw/April 2026 Maintenance Pack - MP 1.html,0,0,,,,
MEDIUM,ROW_MISSING_FIX_IDENTIFIER,KB881136,MP 1,"April 18, 2026",CCS_26.4_MP1.3.3_PFDs_Portfolio.pdf,,,,Implement a new hook to trigger FT table partitioning,kbs/raw/April 2026 Maintenance Pack - MP 1.html,0,0,,,KB row has no bug / patch identifier to join against extracted source attachments.,Missing bug / patch number. | Missing product. | Missing category.
MEDIUM,ROW_MISSING_FIX_IDENTIFIER,KB881136,MP 1,"April 18, 2026",CCS_26.4_MP1.3.3_PFDs_Portfolio.pdf,,,,Java API implementation update posts the data area schema update to get summary of docType from AIA,kbs/raw/April 2026 Maintenance Pack - MP 1.html,0,0,,,KB row has no bug / patch identifier to join against extracted source attachments.,Missing bug / patch number. | Missing product. | Missing category.
LOW,PORTFOLIO_PLACEHOLDER_NO_PFDS,KB881136,MP 1,"April 09, 2026",CCS_26.4_MP1.2.0_PFDs_Portfolio.pdf,,,,Fixed the ohelp probe for 26.4 after change in ohelp doc url,kbs/raw/April 2026 Maintenance Pack - MP 1.html,0,1,,kbs/extracted/CCS_26.4_MP1.2.0_PFDs_Portfolio/0_No_PFDS_Provided_6.pdf,,Missing bug / patch number. | Missing product. | Missing category.
HIGH,NO_EVIDENCE_ATTACHMENT_FOUND,KB881136,MP 1,"April 04, 2026",CCS_26.4_MP1.1.0_PFDs_Portfolio.pdf,38983801,Oracle Utilities Customer Care and Billing,Notification Preferences,Notification-related Issues,kbs/raw/April 2026 Maintenance Pack - MP 1.html,0,0,,,No extracted attachment matched the KB row bug / patch number within the referenced portfolio.,
HIGH,NO_EVIDENCE_ATTACHMENT_FOUND,KB881136,MP 1,"April 04, 2026",CCS_26.4_MP1.1.0_PFDs_Portfolio.pdf,39007153,Oracle Utilities Customer Care and Billing,Customer 360,Additional changes to display AI-generated summary to Customer Activity History zone,kbs/raw/April 2026 Maintenance Pack - MP 1.html,0,0,,,No extracted attachment matched the KB row bug / patch number within the referenced portfolio.,
MEDIUM,ROW_MISSING_FIX_IDENTIFIER,KB881136,MP 1,"April 04, 2026",CCS_26.4_MP1.1.0_PFDs_Portfolio.pdf,,,,Allowlist CM classes,kbs/raw/April 2026 Maintenance Pack - MP 1.html,0,0,,,KB row has no bug / patch identifier to join against extracted source attachments.,Missing bug / patch number. | Missing product. | Missing category.
HIGH,NO_EVIDENCE_ATTACHMENT_FOUND,KB881135,MP 7,"April 04, 2026",CCS_25.10_MP7.1.0_PFDs_Portfolio.pdf,38932135,Oracle Utilities Customer to Meter,Market Transaction Messaging,Database Health Check: Orphan Records - MTM objects and system generated imports on scripts,kbs/raw/April 2026 Maintenance Pack - MP 7.html,0,0,,,No extracted attachment matched the KB row bug / patch number within the referenced portfolio.,
HIGH,NO_EVIDENCE_ATTACHMENT_FOUND,KB869018,MP 5,"February 07, 2026",CCS_25.10_MP5.1.0_PFDs_Portfolio.pdf,38889566,Oracle Utilities Customer to Meter,Market Transaction Messaging,Custom Modification algorithm types cleanup,kbs/raw/February 2026 Maintenance Pack - MP 5 - Starting after MP 5.3.1.html,0,0,,,No extracted attachment matched the KB row bug / patch number within the referenced portfolio.,
HIGH,NO_EVIDENCE_ATTACHMENT_FOUND,KB869018,MP 5,"February 07, 2026",CCS_25.10_MP5.1.0_PFDs_Portfolio.pdf,38866025,Oracle Utilities Customer to Meter,Market Transaction Messaging,Incorrect value if Market Participant Type is set to 'AY',kbs/raw/February 2026 Maintenance Pack - MP 5 - Starting after MP 5.3.1.html,0,0,,,No extracted attachment matched the KB row bug / patch number within the referenced portfolio.,
